cindex,sindex
17.808,82.192
56.676,43.324
69.472,30.528
43.923,56.077
81.824,18.176
48.831,51.169
45.625,54.375
20.079,79.921
41.009,58.991
26.072,73.928
33.428,66.572
53.932,46.068
43.186,56.814
30.591,69.409
29.826,70.174
26.908,73.092
47.530,52.470
50.255,49.745
56.938,43.062
48.561,51.439
74.315,25.685
21.962,78.038
28.344,71.656
19.500,80.500
24.691,75.309
42.606,57.394
43.061,56.939
44.854,55.146
25.155,74.845
53.779,46.221
31.455,68.545
29.330,70.670
56.676,43.324
47.076,52.924
39.125,60.875
35.544,64.456
39.347,60.653
70.584,29.416
33.155,66.845
34.258,65.742
39.909,60.091
48.201,51.799
44.492,55.508
75.765,24.235
65.915,34.085
34.911,65.089
56.885,43.115
22.003,77.997
37.885,62.115
47.958,52.042
49.498,50.502
36.477,63.523
55.955,44.045
20.726,79.274
57.909,42.091
39.906,60.094
82.178,17.822
45.392,54.608
47.595,52.405
52.139,47.861
39.094,60.906
30.991,69.009
50.181,49.819
34.189,65.811
33.148,66.852
54.511,45.489
37.028,62.972
76.094,23.906
29.036,70.964
30.225,69.775
65.561,34.439
66.171,33.829
27.457,72.543
38.525,61.475
25.832,74.168
38.316,61.684
41.461,58.539
56.263,43.737
57.194,42.806
44.562,55.438
34.001,65.999
33.064,66.936
38.805,61.195
74.746,25.254
49.395,50.605
45.987,54.013
21.117,78.883
65.014,34.986
42.962,57.038
23.263,76.737
41.011,58.989
73.412,26.588
55.405,44.595
57.306,42.694
40.179,59.821
37.948,62.052
60.915,39.085
55.761,44.239
44.284,55.716
35.111,64.889
40.521,59.479
22.133,77.867
53.475,46.525
27.717,72.283
58.609,41.391
36.179,63.821
59.764,40.236
70.284,29.716
42.408,57.592
43.068,56.932
25.894,74.106
61.382,38.618
52.720,47.280
39.425,60.575
50.528,49.472
28.962,71.038
53.444,46.556
23.771,76.229
38.658,61.342
57.226,42.774
25.498,74.502
18.541,81.459
43.229,56.771
